id,time,diff,compact_diff,file
1,4.75,1.0000,1.0000,cand_001_004.75s.jpg
2,18.75,0.0033,0.6062,cand_002_018.75s.jpg
3,24.00,0.0043,0.3999,cand_004_024.00s.jpg
4,26.00,0.0268,0.7823,cand_005_026.00s.jpg
5,26.50,0.0311,0.2939,cand_006_026.50s.jpg
6,27.25,0.0203,0.7828,cand_007_027.25s.jpg
7,28.50,0.0607,0.6629,cand_008_028.50s.jpg
8,29.50,0.0234,0.6879,cand_009_029.50s.jpg
9,29.75,0.0199,0.1246,cand_010_029.75s.jpg
10,30.00,0.0182,0.0865,cand_011_030.00s.jpg
11,42.25,0.0197,0.1764,cand_012_042.25s.jpg
12,44.00,0.0234,0.1397,cand_013_044.00s.jpg
13,44.25,0.0230,0.3961,cand_014_044.25s.jpg
14,44.50,0.0270,0.4960,cand_015_044.50s.jpg
15,44.75,0.0248,0.0944,cand_016_044.75s.jpg
16,45.00,0.0297,0.2676,cand_017_045.00s.jpg
17,45.25,0.0250,0.2525,cand_018_045.25s.jpg
18,45.50,0.0232,0.3139,cand_019_045.50s.jpg
19,46.00,0.0211,0.3432,cand_020_046.00s.jpg
20,48.25,0.0123,0.0961,cand_021_048.25s.jpg
21,50.50,0.0063,0.2171,cand_022_050.50s.jpg
22,51.75,0.0555,0.3100,cand_023_051.75s.jpg
23,52.00,0.0592,0.3137,cand_024_052.00s.jpg
24,55.00,0.0131,0.5711,cand_025_055.00s.jpg
25,66.50,0.0061,0.6135,cand_026_066.50s.jpg
26,73.25,0.0229,0.1128,cand_027_073.25s.jpg
27,73.50,0.0342,0.0840,cand_028_073.50s.jpg
28,73.75,0.0828,0.1464,cand_029_073.75s.jpg
29,74.00,0.0822,0.1046,cand_030_074.00s.jpg
30,74.25,0.0582,0.0824,cand_031_074.25s.jpg
31,74.50,0.0285,0.0655,cand_032_074.50s.jpg
32,74.75,0.0186,0.1931,cand_033_074.75s.jpg
33,75.00,0.0283,0.2760,cand_034_075.00s.jpg
34,75.25,0.0219,0.3751,cand_035_075.25s.jpg
35,75.50,0.0195,0.2789,cand_036_075.50s.jpg
36,75.75,0.0195,0.2376,cand_037_075.75s.jpg
37,76.00,0.0182,0.1092,cand_038_076.00s.jpg
38,77.50,0.0318,0.4876,cand_039_077.50s.jpg
39,77.75,0.0203,0.3250,cand_040_077.75s.jpg
40,78.25,0.0584,0.3020,cand_041_078.25s.jpg
41,78.50,0.0426,0.1236,cand_042_078.50s.jpg
42,78.75,0.0383,0.2315,cand_043_078.75s.jpg
43,79.00,0.0250,0.2815,cand_044_079.00s.jpg
44,82.50,0.0418,0.1230,cand_046_082.50s.jpg
45,83.75,0.0221,0.1680,cand_047_083.75s.jpg
46,87.75,0.0227,0.1605,cand_049_087.75s.jpg
47,88.00,0.0182,0.1048,cand_050_088.00s.jpg
48,88.25,0.1760,0.4405,cand_051_088.25s.jpg
49,89.00,0.0279,0.1078,cand_052_089.00s.jpg
50,89.25,0.0357,0.1250,cand_053_089.25s.jpg
51,89.50,0.0496,0.1233,cand_054_089.50s.jpg
52,89.75,0.0459,0.0999,cand_055_089.75s.jpg
53,90.00,0.1217,0.4866,cand_056_090.00s.jpg
54,90.50,0.0613,0.5124,cand_057_090.50s.jpg
55,91.00,0.0344,0.1039,cand_058_091.00s.jpg
56,91.50,0.0535,0.2152,cand_059_091.50s.jpg
57,91.75,0.0959,0.2108,cand_060_091.75s.jpg
58,92.00,0.2188,0.4699,cand_061_092.00s.jpg
59,92.25,0.0727,0.1518,cand_062_092.25s.jpg
60,92.50,0.0703,0.1512,cand_063_092.50s.jpg
61,92.75,0.0418,0.0674,cand_064_092.75s.jpg
62,93.00,0.0332,0.2177,cand_065_093.00s.jpg
63,93.25,0.1504,0.4906,cand_066_093.25s.jpg
64,95.00,0.1301,0.6708,cand_067_095.00s.jpg
65,96.50,0.1455,0.4413,cand_068_096.50s.jpg
66,97.00,0.0182,0.3527,cand_069_097.00s.jpg
67,97.25,0.1984,0.5762,cand_070_097.25s.jpg
68,98.00,0.0223,0.0552,cand_072_098.00s.jpg
69,98.50,0.0383,0.0783,cand_073_098.50s.jpg
70,98.75,0.0227,0.2049,cand_074_098.75s.jpg
71,99.75,0.1867,0.4276,cand_075_099.75s.jpg
72,102.25,0.0270,0.0816,cand_077_102.25s.jpg
73,102.50,0.0287,0.0762,cand_078_102.50s.jpg
74,102.75,0.0248,0.1582,cand_079_102.75s.jpg
75,103.00,0.0242,0.0655,cand_080_103.00s.jpg
76,104.25,0.0207,0.0889,cand_082_104.25s.jpg
77,104.50,0.0205,0.1181,cand_083_104.50s.jpg
78,104.75,0.0270,0.1052,cand_084_104.75s.jpg
79,105.00,0.0244,0.0927,cand_085_105.00s.jpg
80,105.50,0.2721,0.5246,cand_086_105.50s.jpg
81,106.75,0.2654,0.5099,cand_087_106.75s.jpg
82,107.50,0.0418,0.2473,cand_088_107.50s.jpg
83,108.25,0.0604,0.1945,cand_089_108.25s.jpg
84,108.50,0.0533,0.1190,cand_090_108.50s.jpg
85,108.75,0.0371,0.1001,cand_091_108.75s.jpg
86,109.00,0.0373,0.2803,cand_092_109.00s.jpg
87,109.75,0.0240,0.2242,cand_093_109.75s.jpg
88,110.00,0.0207,0.2884,cand_094_110.00s.jpg
89,110.25,0.0223,0.2862,cand_095_110.25s.jpg
90,110.75,0.0283,0.2723,cand_096_110.75s.jpg
91,111.25,0.0725,0.3250,cand_097_111.25s.jpg
92,111.50,0.0229,0.0993,cand_098_111.50s.jpg
93,111.75,0.0246,0.1777,cand_099_111.75s.jpg
94,112.00,0.0270,0.1608,cand_100_112.00s.jpg
95,112.50,0.2820,0.3727,cand_102_112.50s.jpg
96,112.75,0.0254,0.0736,cand_103_112.75s.jpg
97,113.25,0.2547,0.6645,cand_105_113.25s.jpg
98,114.00,0.0730,0.8460,cand_106_114.00s.jpg
99,114.25,0.0383,0.1187,cand_107_114.25s.jpg
100,114.50,0.0477,0.1982,cand_108_114.50s.jpg
101,114.75,0.0354,0.1736,cand_109_114.75s.jpg
102,115.00,0.1135,0.2964,cand_110_115.00s.jpg
103,115.75,0.0467,0.3548,cand_111_115.75s.jpg
104,116.00,0.0186,0.5138,cand_112_116.00s.jpg
105,117.00,0.0609,0.6654,cand_113_117.00s.jpg
106,117.25,0.0527,0.1439,cand_114_117.25s.jpg
107,117.50,0.0545,0.1638,cand_115_117.50s.jpg
108,117.75,0.0521,0.1478,cand_116_117.75s.jpg
109,118.00,0.0469,0.1453,cand_117_118.00s.jpg
110,118.25,0.0312,0.2220,cand_118_118.25s.jpg
111,118.50,0.0232,0.1337,cand_119_118.50s.jpg
112,120.00,0.0467,0.3607,cand_120_120.00s.jpg
113,122.25,0.0195,0.2285,cand_123_122.25s.jpg
114,124.50,0.0557,0.2680,cand_124_124.50s.jpg
115,125.25,0.0182,0.0678,cand_126_125.25s.jpg
116,127.25,0.0187,0.4797,cand_128_127.25s.jpg
117,129.75,0.0090,0.4549,cand_129_129.75s.jpg
118,132.00,0.0139,0.7311,cand_130_132.00s.jpg
119,132.25,0.0309,0.6065,cand_131_132.25s.jpg
120,132.50,0.0486,0.3484,cand_132_132.50s.jpg
121,132.75,0.0482,0.1372,cand_133_132.75s.jpg
122,133.00,0.0322,0.1219,cand_134_133.00s.jpg
123,136.25,0.0154,0.1186,cand_135_136.25s.jpg
124,138.75,0.0404,0.1826,cand_136_138.75s.jpg
125,139.25,0.0516,0.2520,cand_137_139.25s.jpg
126,139.50,0.0187,0.2965,cand_138_139.50s.jpg
127,140.25,0.0246,0.2663,cand_139_140.25s.jpg
128,140.75,0.0691,0.3068,cand_140_140.75s.jpg
129,141.00,0.0209,0.1831,cand_141_141.00s.jpg
130,141.25,0.0383,0.2056,cand_142_141.25s.jpg
131,141.50,0.0254,0.2361,cand_143_141.50s.jpg
132,141.75,0.0371,0.3337,cand_144_141.75s.jpg
133,142.25,0.0195,0.2885,cand_145_142.25s.jpg
134,142.50,0.0217,0.1678,cand_146_142.50s.jpg
135,142.75,0.0209,0.2522,cand_147_142.75s.jpg
136,143.50,0.0590,0.2727,cand_148_143.50s.jpg
137,144.25,0.0289,0.2064,cand_149_144.25s.jpg
138,144.75,0.0271,0.1441,cand_150_144.75s.jpg
139,145.25,0.0365,0.1130,cand_151_145.25s.jpg
140,145.50,0.0424,0.0768,cand_152_145.50s.jpg
141,145.75,0.0930,0.3375,cand_153_145.75s.jpg
142,146.00,0.0406,0.3710,cand_154_146.00s.jpg
143,146.25,0.0264,0.3948,cand_155_146.25s.jpg
144,146.50,0.0295,0.3302,cand_156_146.50s.jpg
145,146.75,0.0492,0.2199,cand_157_146.75s.jpg
146,148.50,0.0420,0.3272,cand_158_148.50s.jpg
147,150.75,0.0023,0.3398,cand_159_150.75s.jpg
148,153.00,0.0018,0.1316,cand_160_153.00s.jpg
149,155.75,0.0508,0.2276,cand_161_155.75s.jpg
150,156.00,0.0371,0.1152,cand_162_156.00s.jpg
151,156.25,0.0955,0.1978,cand_163_156.25s.jpg
152,156.50,0.0590,0.1751,cand_164_156.50s.jpg
153,156.75,0.0316,0.2195,cand_165_156.75s.jpg
154,157.00,0.0287,0.2436,cand_166_157.00s.jpg
155,157.25,0.0406,0.2384,cand_167_157.25s.jpg
156,157.50,0.1420,0.2439,cand_168_157.50s.jpg
157,157.75,0.1316,0.1842,cand_169_157.75s.jpg
158,158.00,0.0480,0.0794,cand_170_158.00s.jpg
159,158.25,0.0551,0.0685,cand_171_158.25s.jpg
160,158.50,0.0611,0.0798,cand_172_158.50s.jpg
161,158.75,0.0656,0.0751,cand_173_158.75s.jpg
162,159.00,0.0516,0.1699,cand_174_159.00s.jpg
163,159.25,0.2514,0.4538,cand_175_159.25s.jpg
164,159.50,0.1266,0.2462,cand_176_159.50s.jpg
165,159.75,0.1443,0.1947,cand_177_159.75s.jpg
166,160.00,0.1371,0.4268,cand_178_160.00s.jpg
167,160.25,0.1164,0.1254,cand_179_160.25s.jpg
168,160.50,0.3129,0.4251,cand_180_160.50s.jpg
169,160.75,0.0676,0.6730,cand_181_160.75s.jpg
170,161.00,0.1119,0.5229,cand_182_161.00s.jpg
171,161.25,0.1605,0.4027,cand_183_161.25s.jpg
172,161.50,0.0852,0.2816,cand_184_161.50s.jpg
173,161.75,0.0221,0.1212,cand_185_161.75s.jpg
174,162.00,0.0793,0.4693,cand_186_162.00s.jpg
175,162.50,0.0326,0.0648,cand_188_162.50s.jpg
176,162.75,0.0320,0.0651,cand_189_162.75s.jpg
177,163.00,0.0393,0.0559,cand_190_163.00s.jpg
178,163.25,0.0523,0.0708,cand_191_163.25s.jpg
179,163.75,0.0650,0.1668,cand_192_163.75s.jpg
180,164.00,0.0875,0.1971,cand_193_164.00s.jpg
181,164.25,0.0420,0.0822,cand_194_164.25s.jpg
182,164.50,0.0445,0.3018,cand_195_164.50s.jpg
183,164.75,0.0369,0.2125,cand_196_164.75s.jpg
184,165.00,0.0455,0.1454,cand_197_165.00s.jpg
185,165.25,0.0316,0.1107,cand_198_165.25s.jpg
186,165.50,0.0527,0.2115,cand_199_165.50s.jpg
187,165.75,0.0338,0.1676,cand_200_165.75s.jpg
188,166.00,0.0193,0.1120,cand_201_166.00s.jpg
189,167.00,0.0574,0.1853,cand_202_167.00s.jpg
190,167.50,0.1508,0.5112,cand_203_167.50s.jpg
191,167.75,0.0781,0.1895,cand_204_167.75s.jpg
192,168.00,0.1125,0.1879,cand_205_168.00s.jpg
193,168.25,0.0326,0.0788,cand_206_168.25s.jpg
194,168.50,0.0604,0.1167,cand_207_168.50s.jpg
195,168.75,0.3350,0.4888,cand_208_168.75s.jpg
196,169.00,0.2938,0.5648,cand_209_169.00s.jpg
197,169.25,0.0729,0.2730,cand_210_169.25s.jpg
198,169.50,0.0992,0.2339,cand_211_169.50s.jpg
199,169.75,0.0754,0.2199,cand_212_169.75s.jpg
200,170.00,0.0686,0.2822,cand_213_170.00s.jpg
201,170.25,0.0688,0.2113,cand_214_170.25s.jpg
202,170.50,0.0957,0.2508,cand_215_170.50s.jpg
203,170.75,0.0756,0.2418,cand_216_170.75s.jpg
204,171.00,0.1064,0.2251,cand_217_171.00s.jpg
205,171.25,0.0652,0.1044,cand_218_171.25s.jpg
206,171.50,0.0502,0.0641,cand_219_171.50s.jpg
207,171.75,0.0439,0.0904,cand_220_171.75s.jpg
208,172.00,0.0535,0.0809,cand_221_172.00s.jpg
209,172.25,0.0875,0.2473,cand_222_172.25s.jpg
210,172.50,0.3170,0.3344,cand_223_172.50s.jpg
211,172.75,0.3559,0.3777,cand_224_172.75s.jpg
212,173.00,0.2979,0.2632,cand_225_173.00s.jpg
213,173.25,0.2045,0.0927,cand_226_173.25s.jpg
214,173.75,0.1779,0.0583,cand_228_173.75s.jpg
215,174.00,0.0420,0.0702,cand_229_174.00s.jpg
216,174.25,0.0324,0.0892,cand_230_174.25s.jpg
217,174.50,0.0281,0.1132,cand_231_174.50s.jpg
218,175.00,0.0232,0.0954,cand_232_175.00s.jpg
219,175.75,0.0238,0.0913,cand_233_175.75s.jpg
220,176.50,0.3141,0.0952,cand_235_176.50s.jpg
221,177.50,0.9365,0.5250,cand_237_177.50s.jpg
222,180.25,0.1559,0.5095,cand_238_180.25s.jpg
